Dept_ID,Facility_ID,HFR_ID,Department_Name,Room_No,Floor,Status
DEP115,FAC002,IN1010000337,Medical Certificate,,Ground Floor,Active
DEP116,FAC002,IN1010000337,NCD OPD,Waiting Hall,Ground Floor,Active
DEP117,FAC002,IN1010000337,Nephrology OPD,,Ground Floor,Active
DEP118,FAC002,IN1010000337,Neuro OPD,,Ground Floor,Active
DEP119,FAC002,IN1010000337,Orthopaedic OPD,,Ground Floor,Active
DEP120,FAC002,IN1010000337,Paediatric OPD,,Ground Floor,Active
DEP121,FAC002,IN1010000337,Pathology,19,Ground Floor,Active
DEP122,FAC002,IN1010000337,Physiotherapy,,Ground Floor,Active
DEP123,FAC002,IN1010000337,Plaster,,Ground Floor,Active
DEP124,FAC002,IN1010000337,Psychiatric OPD,,Ground Floor,Active
DEP125,FAC002,IN1010000337,RBSK OPD,18,Ground Floor,Active
DEP126,FAC002,IN1010000337,TB Consultation,19,Ground Floor,Active
DEP127,FAC002,IN1010000337,Ultrasound,,Ground Floor,Active
DEP128,FAC002,IN1010000337,X-Ray,17,Ground Floor,Active
DEP129,FAC002,IN1010000337,Yoga OPD,Waiting Hall,Ground Floor,Active
DEP130,FAC002,IN1010000337,Ambulance Room,,Ground Floor,Active
DEP131,FAC002,IN1010000337,Staff Room,,Ground Floor,Active
DEP132,FAC002,IN1010000337,Emergency Doctors Room,15,Ground Floor,Active
DEP133,FAC002,IN1010000337,Hospital Manager Room,,Ground Floor,Active
DEP134,FAC002,IN1010000337,Resistration Counter,Waiting Hall,Ground Floor,Active
DEP135,FAC002,IN1010000337,Female OPD,,Ground Floor,Active
DEP136,FAC002,IN1010000337,Eye OPD,,Ground Floor,Active
DEP137,FAC002,IN1010000337,ANC Ward,12,Ground Floor,Active
DEP138,FAC002,IN1010000337,Cancer Clinic,,Ground Floor,Active
DEP139,FAC002,IN1010000337,S.T.D,,Ground Floor,Active
DEP140,FAC002,IN1010000337,Pharmacy,21,Ground Floor,Active
DEP141,FAC002,IN1010000337,S.T.D Starile,,Ground Floor,Active
DEP142,FAC002,IN1010000337,Pre Anithicia Checkup,8,Ground Floor,Active
DEP143,FAC002,IN1010000337,Nursing Station Room,13,Ground Floor,Active
DEP144,FAC002,IN1010000337,Changing Room,,Ground Floor,Active
DEP145,FAC002,IN1010000337,General OT Pharmecy,8,Ground Floor,Active
DEP146,FAC002,IN1010000337,OT Pharmecy,8,Ground Floor,Active
DEP147,FAC002,IN1010000337,Patient Changing Room,,Ground Floor,Active
DEP148,FAC002,IN1010000337,Doctors Room,15,Ground Floor,Active
DEP149,FAC002,IN1010000337,DS/Moic Chamber,1,Ground Floor,Active
DEP150,FAC002,IN1010000337,HM/BHM Room,18,Ground Floor,Active
