Facility_ID,Facility_Name,Facility_Name_HI,Facility_Type,Block,Category,HFR_ID,Latitude,Longitude,Coord_Status,Google_Maps_URL,Emergency_24x7,Operating_Hours,Bed_Count,Incharge_Designation,Incharge_Name,Contact_Phone,Key_Services,Address_Details,Drug_Stock_URL,Status,Display_Order
FAC011,APHC Maldah Sheikhpura,,APHC,Barbigha,HWC,IN1010003605,25.173170,85.753300,ok,"https://www.google.com/maps/search/?api=1&query=25.17317,85.7533",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Barbigha, Sheikhpura",,Active,11
FAC012,APHC Andouli,,APHC,Chewara,HWC,IN1010003224,25.088020,85.906570,ok,"https://www.google.com/maps/search/?api=1&query=25.08802,85.90657",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Chewara, Sheikhpura",,Active,12
FAC013,APHC Ashtawa Sheikhpura,,APHC,Chewara,HWC,IN1010002664,25.053060,85.963550,ok,"https://www.google.com/maps/search/?api=1&query=25.05306,85.96355",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Chewara, Sheikhpura",,Active,13
FAC014,APHC EKARHA,,APHC,Chewara,,IN1010004348,25.051340,85.896270,ok,"https://www.google.com/maps/search/?api=1&query=25.05134,85.89627",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Chewara, Sheikhpura",,Active,14
FAC015,APHC KAPASI,,APHC,Chewara,,IN1010003234,25.030580,85.923230,ok,"https://www.google.com/maps/search/?api=1&query=25.03058,85.92323",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Chewara, Sheikhpura",,Active,15
FAC016,APHC Lohan Sheikhpura,,APHC,Chewara,HWC,IN1010003231,25.015260,85.875260,ok,"https://www.google.com/maps/search/?api=1&query=25.01526,85.87526",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Chewara, Sheikhpura",,Active,16
FAC017,HWC Bhadaus Sheikhpura,,APHC,Ghatkusumbha,HWC,IN1010002447,25.159270,85.934390,ok,"https://www.google.com/maps/search/?api=1&query=25.15927,85.93439",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Ghatkusumbha, Sheikhpura",,Active,17
FAC018,APHC Berma Sheikhpura,,APHC,Sheikhpura,HWC,IN1010001474,25.120160,85.937620,ok,"https://www.google.com/maps/search/?api=1&query=25.12016,85.93762",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Sheikhpura, Sheikhpura",,Active,18
FAC019,APHC Gagri Sheikhpura,,APHC,Sheikhpura,HWC,IN1010001502,25.110060,85.933720,ok,"https://www.google.com/maps/search/?api=1&query=25.11006,85.93372",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Sheikhpura, Sheikhpura",,Active,19
FAC020,APHC Hathiyawa Sheikhpura,,APHC,Sheikhpura,HWC,IN1010001613,25.151680,85.824300,ok,"https://www.google.com/maps/search/?api=1&query=25.15168,85.8243",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Sheikhpura, Sheikhpura",,Active,20
FAC021,APHC Katari Sheikhpura,,APHC,Sheikhpura,HWC,IN1010002180,25.168180,85.867890,ok,"https://www.google.com/maps/search/?api=1&query=25.16818,85.86789",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Sheikhpura, Sheikhpura",,Active,21
FAC022,APHC Mehus Sheikhpura,,APHC,Sheikhpura,HWC,IN1010001416,25.209040,85.832350,ok,"https://www.google.com/maps/search/?api=1&query=25.20904,85.83235",No,9:00 AM - 5:00 PM,4,Medical Officer (MO),,,"Primary OPD, NCD Screening, Free Medicines, Immunization, Maternal Care","Sheikhpura, Sheikhpura",,Active,22
FAC023,Ayushman Arogya Mandir Afani,,HSC,Ariyari,HWC,IN1010003822,25.068810,85.779800,ok,"https://www.google.com/maps/search/?api=1&query=25.06881,85.7798",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,23
FAC024,Ayushman Arogya Mandir Baruna,,HSC,Ariyari,HWC,IN1010003834,,,missing,,No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,24
FAC025,Ayushman Arogya Mandir Afardih,,HSC,Ariyari,HWC,IN1010003838,25.040630,85.829820,ok,"https://www.google.com/maps/search/?api=1&query=25.04063,85.82982",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,25
FAC026,Ayushman Arogya Mandir Belchhi,,HSC,Ariyari,HWC,IN1010002907,25.095340,85.838040,ok,"https://www.google.com/maps/search/?api=1&query=25.09534,85.83804",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,26
FAC027,Ayushman Arogya Mandir Belhari,,HSC,Ariyari,HWC,IN1010003814,25.020050,85.830440,ok,"https://www.google.com/maps/search/?api=1&query=25.02005,85.83044",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,27
FAC028,Ayushman Arogya Mandir Bhojdih,,HSC,Ariyari,HWC,IN1010004188,25.113860,85.808970,ok,"https://www.google.com/maps/search/?api=1&query=25.11386,85.80897",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,28
FAC029,Ayushman Arogya Mandir Chorbar,,HSC,Ariyari,HWC,IN1010002910,25.114000,85.836400,ok,"https://www.google.com/maps/search/?api=1&query=25.114,85.8364",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,29
FAC030,Ayushman Arogya Mandir Chourdargah,,HSC,Ariyari,HWC,IN1010002908,25.008450,85.840590,ok,"https://www.google.com/maps/search/?api=1&query=25.00845,85.84059",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,30
FAC031,Ayushman Arogya Mandir Diha,,HSC,Ariyari,HWC,IN1010004214,25.071370,85.864080,ok,"https://www.google.com/maps/search/?api=1&query=25.07137,85.86408",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,31
FAC032,Ayushman Arogya Mandir Ekraay,,HSC,Ariyari,HWC,IN1010004229,,,missing,,No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,32
FAC033,Ayushman Arogya Mandir Ghuskhuri,,HSC,Ariyari,HWC,IN1010003824,25.123500,85.845470,ok,"https://www.google.com/maps/search/?api=1&query=25.1235,85.84547",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,33
FAC034,Ayushman Arogya Mandir Hazaratpur Madaro,,HSC,Ariyari,HWC,IN1010003816,25.030630,85.839820,ok,"https://www.google.com/maps/search/?api=1&query=25.03063,85.83982",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,34
FAC035,Ayushman Arogya Mandir Husheinabad,,HSC,Ariyari,HWC,IN1010002676,25.101740,85.857390,ok,"https://www.google.com/maps/search/?api=1&query=25.10174,85.85739",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,35
FAC036,Ayushman Arogya Mandir Karki,,HSC,Ariyari,HWC,IN1010002899,25.126540,85.837450,ok,"https://www.google.com/maps/search/?api=1&query=25.12654,85.83745",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,36
FAC037,Ayushman Arogya Mandir MASAURHA,,HSC,Ariyari,HWC,IN1010030253,,,missing,,No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,37
FAC038,Ayushman Arogya Mandir Sanaiya,,HSC,Ariyari,HWC,IN1010003810,25.050640,85.819820,ok,"https://www.google.com/maps/search/?api=1&query=25.05064,85.81982",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,38
FAC039,Ayushman Arogya Mandir Sohadi,,HSC,Ariyari,HWC,IN1010004196,25.020850,85.861070,ok,"https://www.google.com/maps/search/?api=1&query=25.02085,85.86107",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,39
FAC040,Ayushman Arogya Mandir Varsha,,HSC,Ariyari,HWC,IN1010004244,25.113220,85.834670,ok,"https://www.google.com/maps/search/?api=1&query=25.11322,85.83467",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,40
FAC041,Ayushman Arogya Mandir Vrindawan,,HSC,Ariyari,HWC,IN1010002902,25.066600,85.810710,ok,"https://www.google.com/maps/search/?api=1&query=25.0666,85.81071",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Ariyari, Sheikhpura",,Active,41
FAC042,Ayushman Arogya Mandir Babhan Bigha,,HSC,Barbigha,UHWC,IN1010004944,25.197740,85.739660,ok,"https://www.google.com/maps/search/?api=1&query=25.19774,85.73966",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,42
FAC043,Ayushman Arogya Mandir KUSEDHI,,HSC,Barbigha,HWC,IN1010003640,25.214140,85.800990,ok,"https://www.google.com/maps/search/?api=1&query=25.21414,85.80099",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,43
FAC044,Ayushman Arogya Mandir NAGDIH,,HSC,Barbigha,HWC,IN1010005453,25.210880,85.754430,ok,"https://www.google.com/maps/search/?api=1&query=25.21088,85.75443",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,44
FAC045,Ayushman Arogya Mandir NARSINGHPUR,,HSC,Barbigha,HWC,IN1010005456,25.253640,85.754440,ok,"https://www.google.com/maps/search/?api=1&query=25.25364,85.75444",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,45
FAC046,Ayushman Arogya Mandir PINJRI,,HSC,Barbigha,HWC,IN1010004496,25.193500,85.790210,ok,"https://www.google.com/maps/search/?api=1&query=25.1935,85.79021",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,46
FAC047,Ayushman Arogya Mandir RAMJANPUR,,HSC,Barbigha,HWC,IN1010005285,25.178560,85.697720,ok,"https://www.google.com/maps/search/?api=1&query=25.17856,85.69772",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,47
FAC048,Ayushman Arogya Mandir SAMAS,,HSC,Barbigha,HWC,IN1010005310,25.173330,85.717640,ok,"https://www.google.com/maps/search/?api=1&query=25.17333,85.71764",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,48
FAC049,Ayushman Arogya Mandir SARWA,,HSC,Barbigha,HWC,IN1010005447,25.185730,85.757910,ok,"https://www.google.com/maps/search/?api=1&query=25.18573,85.75791",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,49
FAC050,Ayushman Arogya Mandir TEUS,,HSC,Barbigha,HWC,IN1010005321,25.252310,85.717550,ok,"https://www.google.com/maps/search/?api=1&query=25.25231,85.71755",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,50
FAC051,Ayushman Arogya Mandir UKHADI,,HSC,Barbigha,HWC,IN1010004928,25.238720,85.723070,ok,"https://www.google.com/maps/search/?api=1&query=25.23872,85.72307",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,51
FAC052,Ayushman Arogya Mandir BABHNIMA,,HSC,Barbigha,HWC,IN1010005458,25.230670,85.754790,ok,"https://www.google.com/maps/search/?api=1&query=25.23067,85.75479",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,52
FAC053,Ayushman Arogya Mandir DIH,,HSC,Barbigha,HWC,IN1010005444,25.236160,85.758020,ok,"https://www.google.com/maps/search/?api=1&query=25.23616,85.75802",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,53
FAC054,Ayushman Arogya Mandir Delhwa,,HSC,Barbigha,HWC,IN1010005297,25.221620,85.776040,ok,"https://www.google.com/maps/search/?api=1&query=25.22162,85.77604",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,54
FAC055,Ayushman Arogya Mandir KASHIBIGHA,,HSC,Barbigha,HWC,IN1010005452,25.262580,85.707490,ok,"https://www.google.com/maps/search/?api=1&query=25.26258,85.70749",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,55
FAC056,Ayushman Arogya Mandir KUTHAUTH,,HSC,Barbigha,HWC,IN1010005446,25.212500,85.780250,ok,"https://www.google.com/maps/search/?api=1&query=25.2125,85.78025",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,56
FAC057,Ayushman Arogya Mandir MALDAH,,HSC,Barbigha,,IN1010005449,25.172840,85.753330,ok,"https://www.google.com/maps/search/?api=1&query=25.17284,85.75333",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,57
FAC058,Ayushman Arogya Mandir MIRZAPUR,,HSC,Barbigha,HWC,IN1010005451,25.194510,85.760580,ok,"https://www.google.com/maps/search/?api=1&query=25.19451,85.76058",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,58
FAC059,Ayushman Arogya Mandir PAKPAR,,HSC,Barbigha,,IN1010005455,,,missing,,No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,59
FAC060,Ayushman Arogya Mandir TOY,,HSC,Barbigha,HWC,IN1010005440,25.244920,85.745920,ok,"https://www.google.com/maps/search/?api=1&query=25.24492,85.74592",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,60
FAC061,Ayushman Arogya Mandir kazi fatuchak,,HSC,Barbigha,HWC,IN1010004903,25.247450,85.763930,ok,"https://www.google.com/maps/search/?api=1&query=25.24745,85.76393",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Barbigha, Sheikhpura",,Active,61
FAC062,Ayushman Arogya Mandir CHHATHIYARA,,HSC,Chewara,HWC,IN1010003805,25.030420,85.904160,ok,"https://www.google.com/maps/search/?api=1&query=25.03042,85.90416",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,62
FAC063,Ayushman Arogya Mandir Ekrama,,HSC,Chewara,HWC,IN1010004179,25.071930,85.900290,ok,"https://www.google.com/maps/search/?api=1&query=25.07193,85.90029",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,63
FAC064,Ayushman Arogya Mandir Gadua,,HSC,Chewara,HWC,IN1010003468,25.082680,85.892930,ok,"https://www.google.com/maps/search/?api=1&query=25.08268,85.89293",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,64
FAC065,Ayushman Arogya Mandir Kemra,,HSC,Chewara,HWC,IN1010003259,,,missing,,No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,65
FAC066,Ayushman Arogya Mandir LUTAUT,,HSC,Chewara,HWC,IN1010003271,25.010150,85.896260,ok,"https://www.google.com/maps/search/?api=1&query=25.01015,85.89626",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,66
FAC067,Ayushman Arogya Mandir SIYANI,,HSC,Chewara,HWC,IN1010004181,25.001890,85.973180,ok,"https://www.google.com/maps/search/?api=1&query=25.00189,85.97318",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,67
FAC068,Ayushman Arogya Mandir Sijhouri,,HSC,Chewara,HWC,IN1010004663,25.055140,85.936850,ok,"https://www.google.com/maps/search/?api=1&query=25.05514,85.93685",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,68
FAC069,Ayushman Arogya Mandir Tiyay,,HSC,Chewara,HWC,IN1010004171,25.084930,85.957910,ok,"https://www.google.com/maps/search/?api=1&query=25.08493,85.95791",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,69
FAC070,Ayushman Arogya Mandir Chakandara,,HSC,Chewara,HWC,IN1010003243,25.098450,85.890440,ok,"https://www.google.com/maps/search/?api=1&query=25.09845,85.89044",No,9:00 AM - 5:00 PM,0,Community Health Officer (CHO) / ANM,,,"Primary Care, Tele-consultation (e-Sanjeevani), NCD Screening, Immunization, Free Medicines, Wellness Yoga","Chewara, Sheikhpura",,Active,70
